run,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[0].generic.np,846
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[1].generic.np,504
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[2].generic.np,856
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[3].generic.np,510
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[4].generic.np,489
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[5].generic.np,496
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[6].generic.np,616
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[7].generic.np,763
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[8].generic.np,742
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[9].generic.np,377
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[10].generic.np,540
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[11].generic.np,460
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[12].generic.np,651
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[13].generic.np,742
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[14].generic.np,380
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[15].generic.np,573
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[16].generic.np,567
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[17].generic.np,0
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[18].generic.np,603
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[19].generic.np,649
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[20].generic.np,816
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[21].generic.np,576
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[22].generic.np,0
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[23].generic.np,731
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[24].generic.np,601
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[25].generic.np,725
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[26].generic.np,659
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[27].generic.np,403
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[28].generic.np,577
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[29].generic.np,704
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[30].generic.np,539
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[31].generic.np,883
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[32].generic.np,1085
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[33].generic.np,314
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[34].generic.np,500
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[35].generic.np,766
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[36].generic.np,766
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[37].generic.np,626
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[38].generic.np,830
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[39].generic.np,630
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[40].generic.np,391
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[41].generic.np,615
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[42].generic.np,470
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[43].generic.np,437
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[44].generic.np,495
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[45].generic.np,596
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[46].generic.np,506
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[47].generic.np,668
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[48].generic.np,422
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[49].generic.np,424
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[50].generic.np,600
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[51].generic.np,524
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[52].generic.np,346
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[53].generic.np,501
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[54].generic.np,594
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[55].generic.np,546
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[56].generic.np,416
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[57].generic.np,532
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[58].generic.np,796
RandomWaypointMobility-10-20211008-23:55:11-18368,10,TARPNetwork.node[59].generic.np,624
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[0].generic.np,729
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[1].generic.np,509
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[2].generic.np,704
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[3].generic.np,225
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[4].generic.np,640
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[5].generic.np,556
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[6].generic.np,547
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[7].generic.np,1013
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[8].generic.np,736
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[9].generic.np,490
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[10].generic.np,542
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[11].generic.np,759
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[12].generic.np,655
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[13].generic.np,629
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[14].generic.np,647
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[15].generic.np,464
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[16].generic.np,283
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[17].generic.np,0
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[18].generic.np,837
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[19].generic.np,398
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[20].generic.np,621
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[21].generic.np,939
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[22].generic.np,0
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[23].generic.np,749
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[24].generic.np,684
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[25].generic.np,622
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[26].generic.np,709
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[27].generic.np,528
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[28].generic.np,642
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[29].generic.np,544
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[30].generic.np,385
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[31].generic.np,1010
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[32].generic.np,701
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[33].generic.np,412
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[34].generic.np,479
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[35].generic.np,736
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[36].generic.np,656
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[37].generic.np,335
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[38].generic.np,570
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[39].generic.np,505
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[40].generic.np,397
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[41].generic.np,609
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[42].generic.np,596
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[43].generic.np,667
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[44].generic.np,749
