run,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[0].generic.np,2177
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[1].generic.np,2074
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[2].generic.np,2168
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[3].generic.np,2166
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[4].generic.np,2112
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[5].generic.np,2116
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[6].generic.np,2162
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[7].generic.np,2169
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[8].generic.np,2125
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[9].generic.np,2144
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[10].generic.np,2166
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[11].generic.np,2159
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[12].generic.np,2166
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[13].generic.np,2169
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[14].generic.np,2134
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[15].generic.np,2162
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[16].generic.np,2041
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[17].generic.np,0
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[18].generic.np,2110
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[19].generic.np,2069
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[20].generic.np,2162
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[21].generic.np,2160
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[22].generic.np,0
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[23].generic.np,2166
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[24].generic.np,2184
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[25].generic.np,2166
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[26].generic.np,2165
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[27].generic.np,2040
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[28].generic.np,2124
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[29].generic.np,2066
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[30].generic.np,2070
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[31].generic.np,2144
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[32].generic.np,2151
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[33].generic.np,2147
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[34].generic.np,2058
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[35].generic.np,2162
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[36].generic.np,2131
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[37].generic.np,2177
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[38].generic.np,2069
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[39].generic.np,2047
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[40].generic.np,2045
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[41].generic.np,2134
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[42].generic.np,2158
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[43].generic.np,2046
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[44].generic.np,2013
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[45].generic.np,2074
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[46].generic.np,2126
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[47].generic.np,2134
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[48].generic.np,2138
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[49].generic.np,2167
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[50].generic.np,2141
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[51].generic.np,2156
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[52].generic.np,2163
RandomWaypointMobility-10-20211009-00:05:42-11060,10,TARPNetwork.node[53].generic.np,2158
