run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[18].generic.np,0,915,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[8].generic.np,0,105,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[14].generic.np,0,897,0,0,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[19].generic.np,0,916,0,0,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[25].generic.np,0,920,0,0,0
RandomWaypointMobility-DD-61-20220109-10:08:02-24940,900,1,TARPNetwork.node[7].generic.np,0,841,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[16].generic.np,0,894,0,0,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[31].generic.np,0,54,0,0,0
RandomWaypointMobility-DD-88-20220109-10:20:39-24940,900,28,TARPNetwork.node[3].generic.np,0,1677,0,0,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[17].generic.np,4.7647058823529,0,51,900,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[20].generic.np,0,924,0,0,0
RandomWaypointMobility-DD-61-20220109-10:08:02-24940,900,1,TARPNetwork.node[8].generic.np,0,26,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[15].generic.np,0,890,0,0,0
RandomWaypointMobility-DD-75-20220109-10:14:45-24940,900,15,TARPNetwork.node[1].generic.np,0,122,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[13].generic.np,0,912,0,0,0
RandomWaypointMobility-DD-62-20220109-10:08:09-24940,900,2,TARPNetwork.node[1].generic.np,0,151,0,0,0
RandomWaypointMobility-DD-81-20220109-10:17:38-24940,900,21,TARPNetwork.node[41].generic.np,0,903,0,0,0
RandomWaypointMobility-DD-81-20220109-10:17:38-24940,900,21,TARPNetwork.node[18].generic.np,0,141,0,0,0
RandomWaypointMobility-DD-61-20220109-10:08:02-24940,900,1,TARPNetwork.node[18].generic.np,0,24,0,0,0
RandomWaypointMobility-DD-83-20220109-10:18:41-24940,900,23,TARPNetwork.node[9].generic.np,0,841,0,0,0
RandomWaypointMobility-DD-70-20220109-10:12:08-24940,900,10,TARPNetwork.node[59].generic.np,0,841,0,0,0
RandomWaypointMobility-DD-82-20220109-10:18:05-24940,900,22,TARPNetwork.node[21].generic.np,0,914,0,0,0
