run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[19].generic.np,NaN,816,0,0,NaN
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[18].generic.np,0,766,0,0,531
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[8].generic.np,0,873,0,0,387
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[9].generic.np,0,850,0,NaN,448
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[9].generic.np,0,783,0,0,467
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[8].generic.np,0,566,0,0,773
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[10].generic.np,0,605,0,0,587
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[7].generic.np,0,583,0,0,689
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[6].generic.np,0,496,0,0,779
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[11].generic.np,0,495,0,0,769
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[13].generic.np,0,536,0,0,NaN
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[12].generic.np,0,530,0,0,723
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[21].generic.np,NaN,NaN,NaN,NaN,452
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[7].generic.np,0,804,NaN,0,457
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[6].generic.np,0,577,0,0,726
RandomWaypointMobility-SPD-A-9-20220213-16:09:49-1816,0,9,TARPNetwork.node[0].generic.np,0,862,0,0,416
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[11].generic.np,0,652,0,0,543
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[5].generic.np,0,670,0,0,613
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[10].generic.np,0,658,0,0,615
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[12].generic.np,0,729,0,0,582
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[20].generic.np,NaN,NaN,0,NaN,NaN
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[4].generic.np,0,701,0,0,560
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[23].generic.np,0,689,0,0,580
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[0].generic.np,0,912,0,0,411
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[24].generic.np,0,1000,0,0,296
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[1].generic.np,0,702,0,0,555
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[3].generic.np,0,632,0,0,645
RandomWaypointMobility-SPD-A-16-20220213-16:10:44-1816,0,16,TARPNetwork.node[22].generic.np,1.5101123595506,0,890,890,0
RandomWaypointMobility-SPD-A-21-20220213-16:11:26-1816,0,21,TARPNetwork.node[2].generic.np,0,881,0,0,366
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[2].generic.np,0,823,0,0,544
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[10].generic.np,0,677,0,0,587
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[9].generic.np,0,1060,0,0,323
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[11].generic.np,0,789,0,0,508
RandomWaypointMobility-SPD-A-0-20220213-16:08:41-1816,0,0,TARPNetwork.node[11].generic.np,0,931,0,0,399
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[3].generic.np,0,816,0,0,567
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[8].generic.np,0,800,0,0,578
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[12].generic.np,0,809,0,0,527
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[13].generic.np,0,755,0,0,632
RandomWaypointMobility-SPD-A-17-20220213-16:10:51-1816,0,17,TARPNetwork.node[15].generic.np,0,739,0,0,642
