run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[24].generic.np,0,421,0,0,223
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[27].generic.np,0,404,0,0,NaN
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[33].generic.np,NaN,NaN,NaN,NaN,299
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[35].generic.np,0,369,0,0,219
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[34].generic.np,0,557,0,0,332
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[26].generic.np,0,423,0,0,319
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[21].generic.np,0,488,0,0,426
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[20].generic.np,0,587,0,0,252
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[38].generic.np,0,461,0,0,304
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[36].generic.np,0,425,0,0,361
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[37].generic.np,0,404,0,0,375
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[39].generic.np,0,650,0,0,176
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[25].generic.np,0,381,0,0,392
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[6].generic.np,NaN,NaN,NaN,NaN,284
