run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[6].generic.np,0,82,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[15].generic.np,0,1724,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[8].generic.np,0,1621,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[9].generic.np,0,1648,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[12].generic.np,0,1479,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[9].generic.np,0,1469,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[10].generic.np,0,1512,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[11].generic.np,0,11,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[13].generic.np,0,1471,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[6].generic.np,0,1420,0,0,0
RandomWaypointMobility-DD-86-20220312-12:40:15-23980,900,26,TARPNetwork.node[5].generic.np,0,1146,0,0,0
RandomWaypointMobility-DD-66-20220312-12:34:36-23980,900,6,TARPNetwork.node[38].generic.np,0,956,0,0,0
RandomWaypointMobility-DD-66-20220312-12:34:36-23980,900,6,TARPNetwork.node[36].generic.np,0,974,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[2].generic.np,0,1650,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[0].generic.np,0,1644,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[1].generic.np,0,1635,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[3].generic.np,0,1583,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[4].generic.np,0,1655,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[24].generic.np,0,123,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[25].generic.np,0,1634,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[13].generic.np,0,65,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[26].generic.np,0,1646,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[10].generic.np,0,1649,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[11].generic.np,0,1639,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[12].generic.np,0,1581,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[38].generic.np,0,1469,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[36].generic.np,0,184,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[37].generic.np,0,215,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[33].generic.np,0,174,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[39].generic.np,0,228,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[4].generic.np,0,210,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[2].generic.np,0,187,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[3].generic.np,0,186,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[28].generic.np,0,191,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[5].generic.np,0,147,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[26].generic.np,0,1748,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[28].generic.np,0,1723,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[27].generic.np,0,1732,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[9].generic.np,0,188,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[6].generic.np,0,199,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[7].generic.np,0,193,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[8].generic.np,0,963,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[10].generic.np,0,199,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[1].generic.np,0,180,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[29].generic.np,0,1747,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[31].generic.np,0,1736,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[24].generic.np,0,1727,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[30].generic.np,0,1730,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[32].generic.np,0,1639,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[17].generic.np,4.0578512396694,0,847,900,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[19].generic.np,0,1365,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[18].generic.np,0,1730,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[25].generic.np,0,1740,0,0,0
RandomWaypointMobility-DD-62-20220312-12:33:03-23980,900,2,TARPNetwork.node[33].generic.np,0,1745,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[22].generic.np,2.6206896551724,0,116,116,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[20].generic.np,0,188,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[21].generic.np,0,199,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[19].generic.np,0,982,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[23].generic.np,0,181,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[39].generic.np,0,1642,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[36].generic.np,0,1647,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[37].generic.np,0,1663,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[26].generic.np,0,165,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[24].generic.np,0,185,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[25].generic.np,0,163,0,0,0
RandomWaypointMobility-DD-71-20220312-12:36:11-23980,900,11,TARPNetwork.node[27].generic.np,0,189,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[35].generic.np,0,1623,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[32].generic.np,0,1622,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[33].generic.np,0,184,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[34].generic.np,0,67,0,0,0
RandomWaypointMobility-DD-89-20220312-12:41:10-23980,900,29,TARPNetwork.node[38].generic.np,0,119,0,0,0
RandomWaypointMobility-DD-61-20220312-12:32:46-23980,900,1,TARPNetwork.node[24].generic.np,0,1748,0,0,0
