run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-57-20220312-21:25:47-8428,600,27,TARPNetwork.node[17].app[0],NaN,NaN,668,668000,668,900,900,900000
RandomWaypointMobility-SPD-B-58-20220312-21:25:59-8428,600,28,TARPNetwork.node[22].app[0],663,663000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-58-20220312-21:25:59-8428,600,28,TARPNetwork.node[17].app[0],NaN,NaN,642,642000,642,900,900,900000
RandomWaypointMobility-SPD-B-42-20220312-21:23:18-8428,600,12,TARPNetwork.node[17].app[0],NaN,NaN,200,200000,200,900,900,900000
RandomWaypointMobility-SPD-B-47-20220312-21:23:59-8428,600,17,TARPNetwork.node[17].app[0],NaN,NaN,767,767000,767,900,900,900000
RandomWaypointMobility-SPD-B-36-20220312-21:22:22-8428,600,6,TARPNetwork.node[22].app[0],641,641000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-53-20220312-21:24:56-8428,600,23,TARPNetwork.node[17].app[0],NaN,NaN,677,677000,677,900,900,900000
RandomWaypointMobility-SPD-B-42-20220312-21:23:18-8428,600,12,TARPNetwork.node[22].app[0],231,231000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-53-20220312-21:24:56-8428,600,23,TARPNetwork.node[22].app[0],785,785000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-36-20220312-21:22:22-8428,600,6,TARPNetwork.node[17].app[0],NaN,NaN,604,604000,604,900,900,900000
RandomWaypointMobility-SPD-B-30-20220312-21:21:19-8428,600,0,TARPNetwork.node[17].app[0],NaN,NaN,594,594000,594,900,900,900000
RandomWaypointMobility-SPD-B-30-20220312-21:21:19-8428,600,0,TARPNetwork.node[22].app[0],647,647000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-47-20220312-21:23:59-8428,600,17,TARPNetwork.node[22].app[0],875,875000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-43-20220312-21:23:32-8428,600,13,TARPNetwork.node[17].app[0],NaN,NaN,46,46000,46,900,900,900000
RandomWaypointMobility-SPD-B-37-20220312-21:22:30-8428,600,7,TARPNetwork.node[17].app[0],NaN,NaN,725,725000,725,900,900,900000
RandomWaypointMobility-SPD-B-37-20220312-21:22:30-8428,600,7,TARPNetwork.node[22].app[0],758,758000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-43-20220312-21:23:32-8428,600,13,TARPNetwork.node[22].app[0],68,68000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-52-20220312-21:24:50-8428,600,22,TARPNetwork.node[17].app[0],NaN,NaN,93,93000,93,900,900,900000
RandomWaypointMobility-SPD-B-52-20220312-21:24:50-8428,600,22,TARPNetwork.node[22].app[0],173,173000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-55-20220312-21:25:22-8428,600,25,TARPNetwork.node[17].app[0],NaN,NaN,185,185000,185,900,900,900000
RandomWaypointMobility-SPD-B-55-20220312-21:25:22-8428,600,25,TARPNetwork.node[22].app[0],322,322000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-59-20220312-21:26:13-8428,600,29,TARPNetwork.node[17].app[0],NaN,NaN,642,642000,642,900,900,900000
RandomWaypointMobility-SPD-B-59-20220312-21:26:13-8428,600,29,TARPNetwork.node[22].app[0],737,737000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-51-20220312-21:24:45-8428,600,21,TARPNetwork.node[17].app[0],NaN,NaN,225,225000,225,900,900,900000
RandomWaypointMobility-SPD-B-48-20220312-21:24:08-8428,600,18,TARPNetwork.node[17].app[0],NaN,NaN,219,219000,219,900,900,900000
RandomWaypointMobility-SPD-B-38-20220312-21:22:41-8428,600,8,TARPNetwork.node[17].app[0],NaN,NaN,129,129000,129,900,900,900000
