run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-30-20220312-19:29:59-4360,30,0,TARPNetwork.node[17].app[0],NaN,NaN,424,424000,424,900,900,900000
RandomWaypointMobility-SPD-B-33-20220312-19:30:42-4360,30,3,TARPNetwork.node[17].app[0],NaN,NaN,293,293000,293,900,900,900000
RandomWaypointMobility-SPD-B-33-20220312-19:30:42-4360,30,3,TARPNetwork.node[22].app[0],557,557000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-42-20220312-19:32:49-4360,30,12,TARPNetwork.node[17].app[0],NaN,NaN,390,390000,390,900,900,900000
RandomWaypointMobility-SPD-B-31-20220312-19:30:12-4360,30,1,TARPNetwork.node[17].app[0],NaN,NaN,365,365000,365,900,900,900000
RandomWaypointMobility-SPD-B-49-20220312-19:34:25-4360,30,19,TARPNetwork.node[22].app[0],535,535000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-49-20220312-19:34:25-4360,30,19,TARPNetwork.node[17].app[0],NaN,NaN,268,268000,268,900,900,900000
RandomWaypointMobility-SPD-B-57-20220312-19:36:25-4360,30,27,TARPNetwork.node[22].app[0],548,548000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-31-20220312-19:30:12-4360,30,1,TARPNetwork.node[22].app[0],628,628000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-30-20220312-19:29:59-4360,30,0,TARPNetwork.node[22].app[0],634,634000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-57-20220312-19:36:25-4360,30,27,TARPNetwork.node[17].app[0],NaN,NaN,381,381000,381,900,900,900000
RandomWaypointMobility-SPD-B-36-20220312-19:31:25-4360,30,6,TARPNetwork.node[17].app[0],NaN,NaN,382,382000,382,900,900,900000
RandomWaypointMobility-SPD-B-36-20220312-19:31:25-4360,30,6,TARPNetwork.node[22].app[0],554,554000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-46-20220312-19:33:40-4360,30,16,TARPNetwork.node[22].app[0],567,567000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-46-20220312-19:33:40-4360,30,16,TARPNetwork.node[17].app[0],NaN,NaN,396,396000,396,900,900,900000
RandomWaypointMobility-SPD-B-56-20220312-19:36:12-4360,30,26,TARPNetwork.node[22].app[0],514,514000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-54-20220312-19:35:43-4360,30,24,TARPNetwork.node[22].app[0],656,656000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-52-20220312-19:35:10-4360,30,22,TARPNetwork.node[17].app[0],NaN,NaN,389,389000,389,900,900,900000
RandomWaypointMobility-SPD-B-52-20220312-19:35:10-4360,30,22,TARPNetwork.node[22].app[0],722,722000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-43-20220312-19:33:03-4360,30,13,TARPNetwork.node[22].app[0],527,527000,NaN,NaN,NaN,NaN,NaN,NaN
