run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-28-20220107-20:30:18-27232,0,28,TARPNetwork.node[22].app[0],783,783000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-11-20220107-20:29:14-31436,0,11,TARPNetwork.node[17].app[0],NaN,NaN,656,656000,656,900,900,900000
RandomWaypointMobility-DD-11-20220107-20:29:14-31436,0,11,TARPNetwork.node[22].app[0],761,761000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-8-20220107-20:27:53-31436,0,8,TARPNetwork.node[17].app[0],NaN,NaN,728,728000,728,900,900,900000
RandomWaypointMobility-DD-8-20220107-20:27:53-31436,0,8,TARPNetwork.node[22].app[0],836,836000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-26-20220107-20:29:25-27232,0,26,TARPNetwork.node[17].app[0],NaN,NaN,629,629000,629,900,900,900000
RandomWaypointMobility-DD-28-20220107-20:30:18-27232,0,28,TARPNetwork.node[17].app[0],NaN,NaN,660,660000,660,900,900,900000
RandomWaypointMobility-DD-21-20220107-20:27:08-27232,0,21,TARPNetwork.node[17].app[0],NaN,NaN,663,663000,663,900,900,900000
RandomWaypointMobility-DD-21-20220107-20:27:08-27232,0,21,TARPNetwork.node[22].app[0],842,842000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-2-20220107-20:25:12-31436,0,2,TARPNetwork.node[17].app[0],NaN,NaN,614,614000,614,900,900,900000
RandomWaypointMobility-DD-20-20220107-20:26:40-27232,0,20,TARPNetwork.node[22].app[0],821,821000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-20-20220107-20:26:40-27232,0,20,TARPNetwork.node[17].app[0],NaN,NaN,673,673000,673,900,900,900000
RandomWaypointMobility-DD-2-20220107-20:25:12-31436,0,2,TARPNetwork.node[22].app[0],813,813000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-27-20220107-20:29:51-27232,0,27,TARPNetwork.node[17].app[0],NaN,NaN,695,695000,695,900,900,900000
RandomWaypointMobility-DD-26-20220107-20:29:25-27232,0,26,TARPNetwork.node[22].app[0],788,788000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-4-20220107-20:26:04-31436,0,4,TARPNetwork.node[22].app[0],786,786000,NaN,NaN,NaN,NaN,NaN,NaN
