run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-33-20211204-14:49:09-6596,600,3,TARPNetwork.node[17].app[0],NaN,NaN,525,525000,525,900,900,900000
RandomWaypointMobility-SPD-A-45-20211204-14:46:12-12140,600,15,TARPNetwork.node[17].app[0],NaN,NaN,415,415000,415,900,900,900000
RandomWaypointMobility-SPD-A-31-20211204-14:47:20-6596,600,1,TARPNetwork.node[17].app[0],NaN,NaN,359,359000,359,900,900,900000
RandomWaypointMobility-SPD-A-33-20211204-14:49:09-6596,600,3,TARPNetwork.node[22].app[0],772,772000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-49-20211204-14:49:56-12140,600,19,TARPNetwork.node[22].app[0],785,785000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-51-20211204-14:51:59-12140,600,21,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-SPD-A-36-20211204-14:52:11-6596,600,6,TARPNetwork.node[22].app[0],791,791000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-40-20211204-14:56:09-6596,600,10,TARPNetwork.node[17].app[0],NaN,NaN,362,362000,362,900,900,900000
RandomWaypointMobility-SPD-A-40-20211204-14:56:09-6596,600,10,TARPNetwork.node[22].app[0],704,704000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-36-20211204-14:52:11-6596,600,6,TARPNetwork.node[17].app[0],NaN,NaN,506,506000,506,900,900,900000
RandomWaypointMobility-SPD-A-53-20211204-14:53:47-12140,600,23,TARPNetwork.node[17].app[0],NaN,NaN,372,372000,372,900,900,900000
RandomWaypointMobility-SPD-A-45-20211204-14:46:12-12140,600,15,TARPNetwork.node[22].app[0],762,762000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-42-20211204-14:57:55-6596,600,12,TARPNetwork.node[17].app[0],NaN,NaN,343,343000,343,900,900,900000
RandomWaypointMobility-SPD-A-53-20211204-14:53:47-12140,600,23,TARPNetwork.node[22].app[0],800,800000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-42-20211204-14:57:55-6596,600,12,TARPNetwork.node[22].app[0],827,827000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-51-20211204-14:51:59-12140,600,21,TARPNetwork.node[22].app[0],883,883000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-31-20211204-14:47:20-6596,600,1,TARPNetwork.node[22].app[0],694,694000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-49-20211204-14:49:56-12140,600,19,TARPNetwork.node[17].app[0],NaN,NaN,624,624000,624,900,900,900000
RandomWaypointMobility-SPD-A-30-20211204-14:46:12-6596,600,0,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-SPD-A-41-20211204-14:56:58-6596,600,11,TARPNetwork.node[17].app[0],NaN,NaN,525,525000,525,900,900,900000
