run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-87-20211204-16:18:29-11004,900,27,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-87-20211204-16:18:29-11004,900,27,TARPNetwork.node[17].app[0],NaN,NaN,859,859000,859,900,900,900000
RandomWaypointMobility-SPD-B-79-20211204-16:07:30-11004,900,19,TARPNetwork.node[17].app[0],NaN,NaN,106,106000,106,900,900,900000
RandomWaypointMobility-SPD-B-64-20211204-16:06:45-16768,900,4,TARPNetwork.node[17].app[0],NaN,NaN,874,874000,874,900,900,900000
RandomWaypointMobility-SPD-B-63-20211204-16:04:52-16768,900,3,TARPNetwork.node[17].app[0],NaN,NaN,811,811000,811,900,900,900000
RandomWaypointMobility-SPD-B-63-20211204-16:04:52-16768,900,3,TARPNetwork.node[22].app[0],897,897000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-72-20211204-16:16:46-16768,900,12,TARPNetwork.node[22].app[0],891,891000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-69-20211204-16:12:51-16768,900,9,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-64-20211204-16:06:45-16768,900,4,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-70-20211204-16:14:32-16768,900,10,TARPNetwork.node[17].app[0],NaN,NaN,874,874000,874,900,900,900000
RandomWaypointMobility-SPD-B-61-20211204-16:01:27-16768,900,1,TARPNetwork.node[17].app[0],NaN,NaN,123,123000,123,900,900,900000
RandomWaypointMobility-SPD-B-61-20211204-16:01:27-16768,900,1,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-70-20211204-16:14:32-16768,900,10,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-79-20211204-16:07:30-11004,900,19,TARPNetwork.node[22].app[0],189,189000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-76-20211204-16:02:44-11004,900,16,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-73-20211204-16:18:14-16768,900,13,TARPNetwork.node[17].app[0],NaN,NaN,880,880000,880,900,900,900000
RandomWaypointMobility-SPD-B-73-20211204-16:18:14-16768,900,13,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-84-20211204-16:14:34-11004,900,24,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-84-20211204-16:14:34-11004,900,24,TARPNetwork.node[17].app[0],NaN,NaN,836,836000,836,900,900,900000
RandomWaypointMobility-SPD-B-76-20211204-16:02:44-11004,900,16,TARPNetwork.node[17].app[0],NaN,NaN,800,800000,800,900,900,900000
RandomWaypointMobility-SPD-B-72-20211204-16:16:46-16768,900,12,TARPNetwork.node[17].app[0],NaN,NaN,816,816000,816,900,900,900000
RandomWaypointMobility-SPD-B-69-20211204-16:12:51-16768,900,9,TARPNetwork.node[17].app[0],NaN,NaN,99,99000,99,900,900,900000
RandomWaypointMobility-SPD-B-60-20211204-16:00:52-16768,900,0,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-60-20211204-16:00:52-16768,900,0,TARPNetwork.node[17].app[0],NaN,NaN,876,876000,876,900,900,900000
RandomWaypointMobility-SPD-B-78-20211204-16:05:40-11004,900,18,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-78-20211204-16:05:40-11004,900,18,TARPNetwork.node[17].app[0],NaN,NaN,144,144000,144,900,900,900000
RandomWaypointMobility-SPD-B-86-20211204-16:17:18-11004,900,26,TARPNetwork.node[17].app[0],NaN,NaN,852,852000,852,900,900,900000
RandomWaypointMobility-SPD-B-89-20211204-16:21:13-11004,900,29,TARPNetwork.node[22].app[0],898,898000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-75-20211204-16:00:52-11004,900,15,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-86-20211204-16:17:18-11004,900,26,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-89-20211204-16:21:13-11004,900,29,TARPNetwork.node[17].app[0],NaN,NaN,803,803000,803,900,900,900000
