run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-80-20211204-14:51:00-12396,900,20,TARPNetwork.node[17].app[0],NaN,NaN,392,392000,392,900,900,900000
RandomWaypointMobility-SPD-A-77-20211204-14:48:03-12396,900,17,TARPNetwork.node[17].app[0],NaN,NaN,482,482000,482,900,900,900000
RandomWaypointMobility-SPD-A-80-20211204-14:51:00-12396,900,20,TARPNetwork.node[22].app[0],794,794000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-70-20211204-14:55:32-13196,900,10,TARPNetwork.node[22].app[0],816,816000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-77-20211204-14:48:03-12396,900,17,TARPNetwork.node[22].app[0],771,771000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-75-20211204-14:46:12-12396,900,15,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-61-20211204-14:46:50-13196,900,1,TARPNetwork.node[17].app[0],NaN,NaN,498,498000,498,900,900,900000
RandomWaypointMobility-SPD-A-75-20211204-14:46:12-12396,900,15,TARPNetwork.node[17].app[0],NaN,NaN,546,546000,546,900,900,900000
RandomWaypointMobility-SPD-A-61-20211204-14:46:50-13196,900,1,TARPNetwork.node[22].app[0],777,777000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-66-20211204-14:51:22-13196,900,6,TARPNetwork.node[17].app[0],NaN,NaN,473,473000,473,900,900,900000
RandomWaypointMobility-SPD-A-85-20211204-14:56:31-12396,900,25,TARPNetwork.node[17].app[0],NaN,NaN,412,412000,412,900,900,900000
RandomWaypointMobility-SPD-A-85-20211204-14:56:31-12396,900,25,TARPNetwork.node[22].app[0],747,747000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-72-20211204-14:57:22-13196,900,12,TARPNetwork.node[17].app[0],NaN,NaN,515,515000,515,900,900,900000
RandomWaypointMobility-SPD-A-72-20211204-14:57:22-13196,900,12,TARPNetwork.node[22].app[0],769,769000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-66-20211204-14:51:22-13196,900,6,TARPNetwork.node[22].app[0],857,857000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-87-20211204-14:58:38-12396,900,27,TARPNetwork.node[22].app[0],868,868000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-87-20211204-14:58:38-12396,900,27,TARPNetwork.node[17].app[0],NaN,NaN,525,525000,525,900,900,900000
RandomWaypointMobility-SPD-A-70-20211204-14:55:32-13196,900,10,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-SPD-A-68-20211204-14:53:25-13196,900,8,TARPNetwork.node[22].app[0],751,751000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-68-20211204-14:53:25-13196,900,8,TARPNetwork.node[17].app[0],NaN,NaN,518,518000,518,900,900,900000
RandomWaypointMobility-SPD-A-73-20211204-14:58:28-13196,900,13,TARPNetwork.node[17].app[0],NaN,NaN,383,383000,383,900,900,900000
RandomWaypointMobility-SPD-A-79-20211204-14:50:15-12396,900,19,TARPNetwork.node[22].app[0],662,662000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-79-20211204-14:50:15-12396,900,19,TARPNetwork.node[17].app[0],NaN,NaN,364,364000,364,900,900,900000
RandomWaypointMobility-SPD-A-64-20211204-14:49:23-13196,900,4,TARPNetwork.node[22].app[0],863,863000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-86-20211204-14:57:42-12396,900,26,TARPNetwork.node[22].app[0],878,878000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-60-20211204-14:46:12-13196,900,0,TARPNetwork.node[17].app[0],NaN,NaN,608,608000,608,900,900,900000
RandomWaypointMobility-SPD-A-60-20211204-14:46:12-13196,900,0,TARPNetwork.node[22].app[0],821,821000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-64-20211204-14:49:23-13196,900,4,TARPNetwork.node[17].app[0],NaN,NaN,548,548000,548,900,900,900000
RandomWaypointMobility-SPD-A-62-20211204-14:47:47-13196,900,2,TARPNetwork.node[22].app[0],840,840000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-69-20211204-14:54:29-13196,900,9,TARPNetwork.node[17].app[0],NaN,NaN,464,464000,464,900,900,900000
RandomWaypointMobility-SPD-A-67-20211204-14:52:25-13196,900,7,TARPNetwork.node[17].app[0],NaN,NaN,488,488000,488,900,900,900000
RandomWaypointMobility-SPD-A-67-20211204-14:52:25-13196,900,7,TARPNetwork.node[22].app[0],774,774000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-69-20211204-14:54:29-13196,900,9,TARPNetwork.node[22].app[0],750,750000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-86-20211204-14:57:42-12396,900,26,TARPNetwork.node[17].app[0],NaN,NaN,503,503000,503,900,900,900000
RandomWaypointMobility-SPD-A-81-20211204-14:52:04-12396,900,21,TARPNetwork.node[17].app[0],NaN,NaN,507,507000,507,900,900,900000
RandomWaypointMobility-SPD-A-76-20211204-14:47:08-12396,900,16,TARPNetwork.node[17].app[0],NaN,NaN,437,437000,437,900,900,900000
RandomWaypointMobility-SPD-A-76-20211204-14:47:08-12396,900,16,TARPNetwork.node[22].app[0],881,881000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-81-20211204-14:52:04-12396,900,21,TARPNetwork.node[22].app[0],854,854000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-88-20211204-14:59:37-12396,900,28,TARPNetwork.node[17].app[0],NaN,NaN,464,464000,464,900,900,900000
RandomWaypointMobility-SPD-A-88-20211204-14:59:37-12396,900,28,TARPNetwork.node[22].app[0],771,771000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-78-20211204-14:49:02-12396,900,18,TARPNetwork.node[17].app[0],NaN,NaN,465,465000,465,900,900,900000
RandomWaypointMobility-SPD-A-62-20211204-14:47:47-13196,900,2,TARPNetwork.node[17].app[0],NaN,NaN,382,382000,382,900,900,900000
RandomWaypointMobility-SPD-A-78-20211204-14:49:02-12396,900,18,TARPNetwork.node[22].app[0],811,811000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-74-20211204-14:59:27-13196,900,14,TARPNetwork.node[17].app[0],NaN,NaN,333,333000,333,900,900,900000
RandomWaypointMobility-SPD-A-73-20211204-14:58:28-13196,900,13,TARPNetwork.node[22].app[0],661,661000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-63-20211204-14:48:46-13196,900,3,TARPNetwork.node[17].app[0],NaN,NaN,357,357000,357,900,900,900000
RandomWaypointMobility-SPD-A-82-20211204-14:53:17-12396,900,22,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-SPD-A-89-20211204-15:00:45-12396,900,29,TARPNetwork.node[17].app[0],NaN,NaN,521,521000,521,900,900,900000
