run,PauseTime,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[32].generic.np,786
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[33].generic.np,598
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[34].generic.np,549
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[35].generic.np,925
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[36].generic.np,808
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[37].generic.np,981
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[38].generic.np,725
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[39].generic.np,714
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[40].generic.np,651
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[41].generic.np,770
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[42].generic.np,1070
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[43].generic.np,697
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[51].generic.np,860
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[31].generic.np,683
RandomWaypointMobility-SPD-B-88-20211130-20:38:35-10168,100,28,TARPNetwork.node[59].generic.np,884
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[30].generic.np,510
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[29].generic.np,811
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[59].generic.np,582
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[58].generic.np,568
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[57].generic.np,582
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[56].generic.np,328
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[55].generic.np,718
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[54].generic.np,687
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[53].generic.np,425
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[52].generic.np,690
RandomWaypointMobility-SPD-B-70-20211130-20:27:37-10168,100,10,TARPNetwork.node[50].generic.np,650
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[56].generic.np,795
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[0].generic.np,842
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[59].generic.np,988
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[1].generic.np,634
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[2].generic.np,783
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[3].generic.np,814
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[4].generic.np,558
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[5].generic.np,959
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[6].generic.np,842
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[7].generic.np,542
RandomWaypointMobility-SPD-B-79-20211130-20:33:20-10168,100,19,TARPNetwork.node[59].generic.np,465
RandomWaypointMobility-SPD-B-75-20211130-20:30:46-10168,100,15,TARPNetwork.node[58].generic.np,988
