run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-77-20220228-13:45:29-20568,60,17,TARPNetwork.node[22].app[0],702,702000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-80-20220228-13:47:00-20568,60,20,TARPNetwork.node[17].app[0],NaN,NaN,490,490000,490,900,900,900000
RandomWaypointMobility-SPD-B-78-20220228-13:45:59-20568,60,18,TARPNetwork.node[17].app[0],NaN,NaN,397,397000,397,900,900,900000
RandomWaypointMobility-SPD-B-87-20220228-13:50:42-20568,60,27,TARPNetwork.node[17].app[0],NaN,NaN,450,450000,450,900,900,900000
RandomWaypointMobility-SPD-B-67-20220228-13:40:35-20568,60,7,TARPNetwork.node[22].app[0],619,619000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-87-20220228-13:50:42-20568,60,27,TARPNetwork.node[22].app[0],715,715000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-66-20220228-13:40:01-20568,60,6,TARPNetwork.node[17].app[0],NaN,NaN,398,398000,398,900,900,900000
RandomWaypointMobility-SPD-B-66-20220228-13:40:01-20568,60,6,TARPNetwork.node[22].app[0],728,728000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-77-20220228-13:45:29-20568,60,17,TARPNetwork.node[17].app[0],NaN,NaN,481,481000,481,900,900,900000
RandomWaypointMobility-SPD-B-75-20220228-13:44:31-20568,60,15,TARPNetwork.node[17].app[0],NaN,NaN,432,432000,432,900,900,900000
RandomWaypointMobility-SPD-B-74-20220228-13:44:03-20568,60,14,TARPNetwork.node[17].app[0],NaN,NaN,386,386000,386,900,900,900000
RandomWaypointMobility-SPD-B-74-20220228-13:44:03-20568,60,14,TARPNetwork.node[22].app[0],646,646000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-75-20220228-13:44:31-20568,60,15,TARPNetwork.node[22].app[0],743,743000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-63-20220228-13:38:45-20568,60,3,TARPNetwork.node[17].app[0],NaN,NaN,338,338000,338,900,900,900000
RandomWaypointMobility-SPD-B-71-20220228-13:42:26-20568,60,11,TARPNetwork.node[17].app[0],NaN,NaN,528,528000,528,900,900,900000
RandomWaypointMobility-SPD-B-85-20220228-13:49:49-20568,60,25,TARPNetwork.node[22].app[0],730,730000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-85-20220228-13:49:49-20568,60,25,TARPNetwork.node[17].app[0],NaN,NaN,418,418000,418,900,900,900000
RandomWaypointMobility-SPD-B-71-20220228-13:42:26-20568,60,11,TARPNetwork.node[22].app[0],744,744000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-69-20220228-13:41:32-20568,60,9,TARPNetwork.node[17].app[0],NaN,NaN,374,374000,374,900,900,900000
RandomWaypointMobility-SPD-B-82-20220228-13:48:09-20568,60,22,TARPNetwork.node[17].app[0],NaN,NaN,547,547000,547,900,900,900000
RandomWaypointMobility-SPD-B-82-20220228-13:48:09-20568,60,22,TARPNetwork.node[22].app[0],750,750000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-61-20220228-13:37:49-20568,60,1,TARPNetwork.node[17].app[0],NaN,NaN,394,394000,394,900,900,900000
RandomWaypointMobility-SPD-B-67-20220228-13:40:35-20568,60,7,TARPNetwork.node[17].app[0],NaN,NaN,268,268000,268,900,900,900000
RandomWaypointMobility-SPD-B-63-20220228-13:38:45-20568,60,3,TARPNetwork.node[22].app[0],726,726000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-61-20220228-13:37:49-20568,60,1,TARPNetwork.node[22].app[0],669,669000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-69-20220228-13:41:32-20568,60,9,TARPNetwork.node[22].app[0],593,593000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-86-20220228-13:50:17-20568,60,26,TARPNetwork.node[17].app[0],NaN,NaN,382,382000,382,900,900,900000
RandomWaypointMobility-SPD-B-81-20220228-13:47:35-20568,60,21,TARPNetwork.node[17].app[0],NaN,NaN,449,449000,449,900,900,900000
RandomWaypointMobility-SPD-B-81-20220228-13:47:35-20568,60,21,TARPNetwork.node[22].app[0],679,679000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-86-20220228-13:50:17-20568,60,26,TARPNetwork.node[22].app[0],671,671000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-68-20220228-13:41:05-20568,60,8,TARPNetwork.node[17].app[0],NaN,NaN,332,332000,332,900,900,900000
RandomWaypointMobility-SPD-B-64-20220228-13:39:12-20568,60,4,TARPNetwork.node[22].app[0],727,727000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-83-20220228-13:48:45-20568,60,23,TARPNetwork.node[22].app[0],683,683000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-64-20220228-13:39:12-20568,60,4,TARPNetwork.node[17].app[0],NaN,NaN,458,458000,458,900,900,900000
RandomWaypointMobility-SPD-B-83-20220228-13:48:45-20568,60,23,TARPNetwork.node[17].app[0],NaN,NaN,451,451000,451,900,900,900000
RandomWaypointMobility-SPD-B-79-20220228-13:46:30-20568,60,19,TARPNetwork.node[17].app[0],NaN,NaN,347,347000,347,900,900,900000
RandomWaypointMobility-SPD-B-84-20220228-13:49:17-20568,60,24,TARPNetwork.node[17].app[0],NaN,NaN,444,444000,444,900,900,900000
RandomWaypointMobility-SPD-B-78-20220228-13:45:59-20568,60,18,TARPNetwork.node[22].app[0],682,682000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-79-20220228-13:46:30-20568,60,19,TARPNetwork.node[22].app[0],671,671000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-62-20220228-13:38:17-20568,60,2,TARPNetwork.node[17].app[0],NaN,NaN,446,446000,446,900,900,900000
RandomWaypointMobility-SPD-B-68-20220228-13:41:05-20568,60,8,TARPNetwork.node[22].app[0],660,660000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-62-20220228-13:38:17-20568,60,2,TARPNetwork.node[22].app[0],697,697000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-84-20220228-13:49:17-20568,60,24,TARPNetwork.node[22].app[0],708,708000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-88-20220228-13:51:13-20568,60,28,TARPNetwork.node[17].app[0],NaN,NaN,451,451000,451,900,900,900000
