run,PauseTime,repetition,Module,meanNbHops
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[33].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[34].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[35].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[36].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[37].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[38].generic.np,0
RandomWaypointMobility-SPD-B-33-20220312-14:24:35-21264,600,3,TARPNetwork.node[19].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[39].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[38].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[37].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[22].generic.np,2.5495867768595
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[36].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[32].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[31].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[30].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[29].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[28].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[27].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[26].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[25].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[24].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[23].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[13].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[24].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[12].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[14].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[15].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[16].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[17].generic.np,1.1945701357466
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[18].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[19].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[20].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[21].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[22].generic.np,1.4140625
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[23].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[35].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[25].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[26].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[27].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[28].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[29].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[30].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[31].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[32].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[33].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[34].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[31].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[21].generic.np,0
RandomWaypointMobility-SPD-B-32-20220312-14:24:29-21264,600,2,TARPNetwork.node[0].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[22].generic.np,4.1818181818182
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[23].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[24].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[25].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[26].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[27].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[28].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[29].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[30].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[20].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[32].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[33].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[34].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[35].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[36].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[37].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[38].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[0].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[39].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[39].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[9].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[20].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[19].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[18].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[17].generic.np,3.7173913043478
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[16].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[15].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[14].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[13].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[12].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[11].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[10].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[21].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[8].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[7].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[6].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[5].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[4].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[3].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[2].generic.np,0
RandomWaypointMobility-SPD-B-50-20220312-14:27:04-21264,600,20,TARPNetwork.node[1].generic.np,0
RandomWaypointMobility-SPD-B-43-20220312-14:26:11-21264,600,13,TARPNetwork.node[0].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[0].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[22].generic.np,2.3659090909091
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[9].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[10].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[11].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[12].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[13].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[14].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[15].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[16].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[17].generic.np,2.3953488372093
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[18].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[19].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[20].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[21].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[8].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[23].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[24].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[25].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[26].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[27].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[28].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[29].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[30].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[31].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[32].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[33].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[34].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[35].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[5].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[18].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[17].generic.np,4.2439024390244
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[16].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[15].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[14].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[13].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[12].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[11].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[10].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[9].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[8].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[7].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[6].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[36].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[4].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[3].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[2].generic.np,0
RandomWaypointMobility-SPD-B-55-20220312-14:27:43-21264,600,25,TARPNetwork.node[1].generic.np,0
RandomWaypointMobility-SPD-B-43-20220312-14:26:11-21264,600,13,TARPNetwork.node[39].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[1].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[2].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[3].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[4].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[5].generic.np,0
RandomWaypointMobility-SPD-B-47-20220312-14:26:35-21264,600,17,TARPNetwork.node[6].generic.np,0
