run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-74-20220311-22:27:20-19924,900,14,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-64-20220311-22:18:45-19924,900,4,TARPNetwork.node[17].app[0],NaN,NaN,819,819000,819,900,900,900000
RandomWaypointMobility-SPD-B-60-20220311-22:15:57-19924,900,0,TARPNetwork.node[17].app[0],NaN,NaN,814,814000,814,900,900,900000
RandomWaypointMobility-SPD-B-87-20220311-22:39:51-19924,900,27,TARPNetwork.node[17].app[0],NaN,NaN,767,767000,767,900,900,900000
RandomWaypointMobility-SPD-B-74-20220311-22:27:20-19924,900,14,TARPNetwork.node[17].app[0],NaN,NaN,129,129000,129,900,900,900000
RandomWaypointMobility-SPD-B-78-20220311-22:30:43-19924,900,18,TARPNetwork.node[17].app[0],NaN,NaN,485,485000,485,900,900,900000
RandomWaypointMobility-SPD-B-87-20220311-22:39:51-19924,900,27,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-71-20220311-22:25:11-19924,900,11,TARPNetwork.node[22].app[0],892,892000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-73-20220311-22:26:32-19924,900,13,TARPNetwork.node[17].app[0],NaN,NaN,551,551000,551,900,900,900000
RandomWaypointMobility-SPD-B-60-20220311-22:15:57-19924,900,0,TARPNetwork.node[22].app[0],897,897000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-75-20220311-22:28:16-19924,900,15,TARPNetwork.node[22].app[0],897,897000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-75-20220311-22:28:16-19924,900,15,TARPNetwork.node[17].app[0],NaN,NaN,707,707000,707,900,900,900000
RandomWaypointMobility-SPD-B-79-20220311-22:31:38-19924,900,19,TARPNetwork.node[22].app[0],804,804000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-73-20220311-22:26:32-19924,900,13,TARPNetwork.node[22].app[0],894,894000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-79-20220311-22:31:38-19924,900,19,TARPNetwork.node[17].app[0],NaN,NaN,629,629000,629,900,900,900000
