run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-129-20220228-12:28:45-18316,120,9,TARPNetwork.node[17].app[0],NaN,NaN,382,382000,382,900,900,900000
RandomWaypointMobility-SPD-A-120-20220228-12:25:14-18316,120,0,TARPNetwork.node[17].app[0],NaN,NaN,300,300000,300,900,900,900000
RandomWaypointMobility-SPD-A-120-20220228-12:25:14-18316,120,0,TARPNetwork.node[22].app[0],555,555000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-147-20220228-12:35:54-18316,120,27,TARPNetwork.node[17].app[0],NaN,NaN,263,263000,263,900,900,900000
RandomWaypointMobility-SPD-A-147-20220228-12:35:54-18316,120,27,TARPNetwork.node[22].app[0],491,491000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-129-20220228-12:28:45-18316,120,9,TARPNetwork.node[22].app[0],712,712000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-134-20220228-12:30:48-18316,120,14,TARPNetwork.node[17].app[0],NaN,NaN,544,544000,544,900,900,900000
RandomWaypointMobility-SPD-A-134-20220228-12:30:48-18316,120,14,TARPNetwork.node[22].app[0],680,680000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-128-20220228-12:28:22-18316,120,8,TARPNetwork.node[17].app[0],NaN,NaN,247,247000,247,900,900,900000
RandomWaypointMobility-SPD-A-137-20220228-12:32:02-18316,120,17,TARPNetwork.node[22].app[0],559,559000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-137-20220228-12:32:02-18316,120,17,TARPNetwork.node[17].app[0],NaN,NaN,289,289000,289,900,900,900000
RandomWaypointMobility-SPD-A-128-20220228-12:28:22-18316,120,8,TARPNetwork.node[22].app[0],619,619000,NaN,NaN,NaN,NaN,NaN,NaN
