run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-99-20220107-22:24:06-24216,90,9,TARPNetwork.node[17].app[0],NaN,NaN,300,300000,300,900,900,900000
RandomWaypointMobility-SPD-A-107-20220107-22:25:36-24216,90,17,TARPNetwork.node[17].app[0],NaN,NaN,397,397000,397,900,900,900000
RandomWaypointMobility-SPD-A-111-20220107-22:26:17-24216,90,21,TARPNetwork.node[17].app[0],NaN,NaN,321,321000,321,900,900,900000
RandomWaypointMobility-SPD-A-107-20220107-22:25:36-24216,90,17,TARPNetwork.node[22].app[0],578,578000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-111-20220107-22:26:17-24216,90,21,TARPNetwork.node[22].app[0],535,535000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-99-20220107-22:24:06-24216,90,9,TARPNetwork.node[22].app[0],490,490000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-95-20220107-22:23:24-24216,90,5,TARPNetwork.node[22].app[0],388,388000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-93-20220107-22:23:02-24216,90,3,TARPNetwork.node[17].app[0],NaN,NaN,250,250000,250,900,900,900000
RandomWaypointMobility-SPD-A-105-20220107-22:25:14-24216,90,15,TARPNetwork.node[22].app[0],413,413000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-105-20220107-22:25:14-24216,90,15,TARPNetwork.node[17].app[0],NaN,NaN,238,238000,238,900,900,900000
RandomWaypointMobility-SPD-A-113-20220107-22:26:42-24216,90,23,TARPNetwork.node[17].app[0],NaN,NaN,200,200000,200,900,900,900000
RandomWaypointMobility-SPD-A-101-20220107-22:24:29-24216,90,11,TARPNetwork.node[17].app[0],NaN,NaN,293,293000,293,900,900,900000
RandomWaypointMobility-SPD-A-101-20220107-22:24:29-24216,90,11,TARPNetwork.node[22].app[0],450,450000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-113-20220107-22:26:42-24216,90,23,TARPNetwork.node[22].app[0],393,393000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-114-20220107-22:26:50-24216,90,24,TARPNetwork.node[22].app[0],533,533000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-114-20220107-22:26:50-24216,90,24,TARPNetwork.node[17].app[0],NaN,NaN,333,333000,333,900,900,900000
RandomWaypointMobility-SPD-A-118-20220107-22:27:35-24216,90,28,TARPNetwork.node[22].app[0],641,641000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-97-20220107-22:23:43-24216,90,7,TARPNetwork.node[22].app[0],568,568000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-97-20220107-22:23:43-24216,90,7,TARPNetwork.node[17].app[0],NaN,NaN,485,485000,485,900,900,900000
RandomWaypointMobility-SPD-A-118-20220107-22:27:35-24216,90,28,TARPNetwork.node[17].app[0],NaN,NaN,449,449000,449,900,900,900000
RandomWaypointMobility-SPD-A-108-20220107-22:25:49-24216,90,18,TARPNetwork.node[17].app[0],NaN,NaN,221,221000,221,900,900,900000
RandomWaypointMobility-SPD-A-103-20220107-22:24:48-24216,90,13,TARPNetwork.node[17].app[0],NaN,NaN,363,363000,363,900,900,900000
RandomWaypointMobility-SPD-A-103-20220107-22:24:48-24216,90,13,TARPNetwork.node[22].app[0],572,572000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-119-20220107-22:27:46-24216,90,29,TARPNetwork.node[17].app[0],NaN,NaN,280,280000,280,900,900,900000
RandomWaypointMobility-SPD-A-108-20220107-22:25:49-24216,90,18,TARPNetwork.node[22].app[0],474,474000,NaN,NaN,NaN,NaN,NaN,NaN
